PC6,Aantal Huishoudens,Aantal Inwoners,AVG_GEVOELIG
1011AB,Onbekend,10,True
1011AC,10,20,True
1011AD,Onbekend,Onbekend,True
1011AE,Onbekend,Onbekend,True
1011AG,Onbekend,5,True
1011AH,15,30,False
1011AJ,10,20,True
1011AK,Onbekend,Onbekend,True
1011AL,Onbekend,Onbekend,True
1011AM,10,15,True
1011AN,15,25,False
1011AP,15,25,False
1011AR,55,70,False
1011AS,10,15,True
1011AT,30,40,False
1011AV,15,20,False
1011AW,10,20,True
1011AX,10,25,True
1011AZ,20,35,False
1011BA,10,20,True
1011BB,5,15,True
1011BC,30,40,False
1011BD,15,35,False
1011BG,20,30,False
1011BH,30,55,False
1011BJ,35,55,False
1011BK,10,15,True
1011BL,10,15,True
1011BM,10,15,True
1011BN,15,20,False
1011BP,15,25,False
1011BR,10,15,True
1011BS,20,35,False
1011BT,20,35,False
1011BV,20,25,False
1011BW,25,30,False
1011BX,20,30,False
1011BZ,20,30,False
1011CA,20,35,False
1011CB,15,25,False
1011CC,15,25,False
1011CD,15,30,False
1011CE,10,15,True
1011CH,20,25,False
1011CJ,10,15,True
1011CK,15,20,False
1011CL,10,15,True
1011CM,55,80,False
1011CN,Onbekend,20,True
1011CP,Onbekend,10,True
1011CR,10,20,True
1011CS,20,30,False
1011CT,15,25,False
1011CV,15,25,False
1011CW,15,30,False
1011CX,15,25,False
1011CZ,25,35,False
1011DB,Onbekend,Onbekend,True
1011DC,Onbekend,Onbekend,True
1011DD,115,215,False
1011DE,Onbekend,Onbekend,True
1011DG,75,135,False
1011DH,Onbekend,Onbekend,True
1011DJ,10,10,True
1011DK,10,15,True
1011DL,45,75,False
1011DZ,Onbekend,15,True
1011EA,40,60,False
1011EB,25,30,False
1011EC,40,55,False
1011ED,10,15,True
1011EE,20,20,False
1011EG,35,55,False
1011EH,40,45,False
1011EJ,25,40,False
1011EK,25,45,False
1011EL,25,40,False
1011EM,Onbekend,5,True
1011EN,20,35,False
1011ER,5,15,True
1011ES,Onbekend,5,True
1011ET,25,40,False
1011EV,5,10,True
1011EW,40,65,False
1011EX,25,50,False
1011EZ,5,15,True
1011GA,20,25,False
1011GB,5,5,True
1011GC,5,10,True
1011GD,50,85,False
1011GG,25,35,False
1011GH,20,30,False
1011GJ,20,35,False
1011GK,5,10,True
1011GL,75,100,False
1011GM,20,30,False
1011GN,25,35,False
1011GP,5,5,True
1011GR,25,35,False
1011GS,35,60,False
1011GT,5,10,True
1011GV,15,20,False
1011GW,15,25,False
1011GX,15,20,False
1011GZ,35,50,False
1011HA,Onbekend,Onbekend,True
1011HB,195,270,False
1011HC,35,45,False
1011HD,15,25,False
1011HE,10,10,True
1011HG,25,30,False
1011HH,25,40,False
1011HJ,15,25,False
1011HK,15,20,False
1011HL,15,30,False
1011HM,Onbekend,Onbekend,True
1011HN,Onbekend,Onbekend,True
1011HP,20,30,False
1011HR,55,85,False
1011HS,40,55,False
1011HT,10,20,True
1011HV,20,30,False
1011HW,25,40,False
1011HX,10,10,True
1011HZ,50,75,False
1011JA,25,40,False
1011JB,35,45,False
1011JC,10,10,True
1011JD,Onbekend,Onbekend,True
1011JE,Onbekend,Onbekend,True
1011JG,5,10,True
1011JH,85,125,False
1011JJ,5,5,True
1011JK,Onbekend,Onbekend,True
1011JL,15,25,False
1011JM,5,10,True
1011JN,20,25,False
1011JP,10,15,True
1011JR,10,20,True
1011JS,Onbekend,Onbekend,True
1011JT,25,30,False
1011JV,30,35,False
1011JW,5,10,True
1011JX,Onbekend,5,True
1011JZ,10,20,True
1011KA,35,60,False
1011KB,25,40,False
1011KC,25,40,False
1011KD,10,15,True
1011KE,Onbekend,Onbekend,True
1011KH,20,20,False
1011KJ,30,30,False
1011KK,35,50,False
1011KM,5,10,True
1011KN,10,15,True
1011KP,20,35,False
1011KR,20,30,False
1011KS,10,15,True
1011KT,45,65,False
1011KV,10,15,True
1011KW,75,100,False
1011KX,Onbekend,Onbekend,True
1011KZ,30,40,False
1011LA,10,15,True
1011LB,25,30,False
1011LC,15,25,False
1011LD,55,80,False
1011LE,35,55,False
1011LH,15,20,False
1011LJ,15,20,False
1011LK,10,10,True
1011LL,20,25,False
1011LM,120,170,False
1011LN,Onbekend,Onbekend,True
1011LP,10,20,True
1011LR,10,15,True
1011LS,10,15,True
1011LT,15,20,False
1011LV,15,20,False
1011LW,30,50,False
1011LX,Onbekend,Onbekend,True
1011LZ,85,125,False
1011MA,Onbekend,50,True
1011MB,35,50,False
1011MC,Onbekend,15,True
1011ME,Onbekend,Onbekend,True
1011MG,35,45,False
1011MH,50,85,False
1011MJ,25,50,False
1011MK,55,90,False
1011ML,45,70,False
1011MN,65,110,False
1011MP,25,35,False
1011MR,20,30,False
1011MS,Onbekend,Onbekend,True
1011MT,20,40,False
1011MV,30,45,False
1011MX,40,60,False
1011MZ,30,50,False
1011NA,50,95,False
1011NB,15,25,False
1011NC,90,155,False
1011ND,20,30,False
1011NE,Onbekend,10,True
1011NG,Onbekend,Onbekend,True
1011NH,Onbekend,Onbekend,True
1011NK,20,30,False
1011NM,Onbekend,Onbekend,True
1011NN,5,5,True
1011NP,Onbekend,Onbekend,True
1011NR,Onbekend,5,True
1011NS,65,100,False
1011NV,20,30,False
1011NX,10,15,True
1011NZ,Onbekend,Onbekend,True
1011PA,5,10,True
1011PB,20,40,False
1011PE,Onbekend,Onbekend,True
1011PG,110,160,False
1011PL,50,65,False
1011PM,15,20,False
1011PN,Onbekend,Onbekend,True
1011PT,15,30,False
1011PV,5,10,True
1011PW,10,15,True
1011PZ,Onbekend,Onbekend,True
1011RA,15,20,False
1011RB,5,10,True
1011RC,10,15,True
1011RD,Onbekend,Onbekend,True
1011RE,15,20,False
1011RG,20,25,False
1011RH,20,40,False
1011RJ,5,10,True
1011RK,10,10,True
1011RL,25,40,False
1011RM,30,35,False
1011RN,20,25,False
1011RP,10,15,True
1011RR,5,10,True
1011RS,10,10,True
1011RV,10,10,True
1011RW,10,10,True
1011RX,5,15,True
1011RZ,10,15,True
1011SB,40,50,False
1011SC,10,10,True
1011SE,5,15,True
1011SG,30,35,False
1011SK,15,30,False
1011SM,Onbekend,Onbekend,True
1011SN,5,5,True
1011SP,15,20,False
1011SR,15,20,False
1011ST,15,15,False
1011SV,15,15,False
1011SW,15,15,False
1011SX,15,15,False
1011SZ,15,15,False
1011TA,Onbekend,Onbekend,True
1011TB,55,100,False
1011TC,40,55,False
1011TD,135,155,False
1011TE,60,95,False
1011TG,15,30,False
1011TJ,20,35,False
1011TK,5,10,True
1011TL,15,20,False
1011TM,25,30,False
1011TN,10,20,True
1011TP,10,15,True
1011TR,15,25,False
1011TS,15,25,False
1011TT,35,65,False
1011TV,85,140,False
1011TW,15,40,False
1011TX,30,45,False
1011TZ,75,130,False
1011VA,15,20,False
1011VB,5,10,True
1011VC,5,5,True
1011VD,5,5,True
1011VE,5,5,True
1011VG,5,10,True
1011VH,5,5,True
1011VJ,5,10,True
1011VK,40,50,False
1011VL,40,70,False
1011VM,55,85,False
1011VP,40,50,False
1011VR,10,10,True
1011VS,20,35,False
1011VT,Onbekend,Onbekend,True
1011VW,Onbekend,Onbekend,True
1011VX,Onbekend,Onbekend,True
1011VZ,20,40,False
1011WB,35,50,False
1011WC,45,65,False
1011WD,40,50,False
1011XA,20,20,False
1012AA,Onbekend,Onbekend,True
1012AB,Onbekend,Onbekend,True
1012AC,10,20,True
1012AD,Onbekend,Onbekend,True
1012AE,80,115,False
1012AG,Onbekend,Onbekend,True
1012AH,10,10,True
1012AJ,5,10,True
1012AK,20,25,False
1012AL,25,35,False
1012AM,Onbekend,Onbekend,True
1012AN,Onbekend,Onbekend,True
1012AP,Onbekend,5,True
1012AR,20,30,False
1012AS,20,30,False
1012AT,10,15,True
1012AV,20,35,False
1012AW,15,20,False
1012AX,Onbekend,5,True
1012AZ,45,70,False
1012BA,50,75,False
1012BB,15,20,False
1012BC,20,30,False
1012BD,15,20,False
1012BE,Onbekend,Onbekend,True
1012BG,30,45,False
1012BH,45,60,False
1012BJ,30,45,False
1012BK,15,25,False
1012BL,15,25,False
1012BM,40,55,False
1012BN,15,20,False
1012BP,25,40,False
1012BR,Onbekend,Onbekend,True
1012BS,55,65,False
1012BT,15,20,False
1012BV,50,70,False
1012BW,30,50,False
1012BX,25,40,False
1012BZ,25,40,False
1012CA,15,25,False
1012CB,50,70,False
1012CC,Onbekend,5,True
1012CD,30,45,False
1012CE,15,20,False
1012CG,Onbekend,Onbekend,True
1012CH,5,10,True
1012CJ,25,35,False
1012CK,15,20,False
1012CL,15,20,False
1012CM,10,15,True
1012CN,Onbekend,Onbekend,True
1012CP,Onbekend,Onbekend,True
1012CR,15,25,False
1012CS,10,15,True
1012CT,15,25,False
1012CV,Onbekend,Onbekend,True
1012CW,25,40,False
1012CX,10,15,True
1012CZ,75,90,False
1012DA,25,30,False
1012DB,15,25,False
1012DC,45,55,False
1012DD,10,15,True
1012DE,20,30,False
1012DG,30,50,False
1012DH,5,10,True
1012DJ,30,40,False
1012DK,10,15,True
1012DL,60,60,False
1012DM,25,30,False
1012DN,10,15,True
1012DP,35,45,False
1012DR,20,20,False
1012DS,25,35,False
1012DT,10,15,True
1012DV,35,50,False
1012DW,15,20,False
1012DX,15,25,False
1012DZ,15,15,False
1012EA,10,15,True
1012EB,10,10,True
1012EC,10,15,True
1012ED,20,25,False
1012EE,10,15,True
1012EG,5,10,True
1012EH,35,50,False
1012EJ,45,55,False
1012EK,30,35,False
1012EL,40,60,False
1012EM,20,30,False
1012EN,25,35,False
1012EP,10,25,True
1012ER,15,15,False
1012ES,40,55,False
1012ET,15,25,False
1012EV,15,20,False
1012EW,35,45,False
1012EX,25,35,False
1012EZ,30,50,False
1012GA,10,15,True
1012GB,10,15,True
1012GC,Onbekend,Onbekend,True
1012GD,30,45,False
1012GE,15,20,False
1012GG,5,10,True
1012GH,65,100,False
1012GJ,35,50,False
1012GK,20,25,False
1012GL,40,65,False
1012GM,20,35,False
1012GN,Onbekend,Onbekend,True
1012GP,25,60,False
1012GR,55,70,False
1012GS,30,40,False
1012GT,30,45,False
1012GV,Onbekend,5,True
1012GW,10,20,True
1012GX,Onbekend,5,True
1012GZ,35,40,False
1012HA,25,30,False
1012HB,Onbekend,Onbekend,True
1012HC,30,35,False
1012HD,Onbekend,Onbekend,True
1012HE,40,55,False
1012HG,60,75,False
1012HH,Onbekend,5,True
1012HJ,Onbekend,10,True
1012HK,5,5,True
1012HL,45,60,False
1012HM,15,20,False
1012HN,Onbekend,Onbekend,True
1012HP,Onbekend,Onbekend,True
1012HR,5,10,True
1012HS,10,15,True
1012HT,15,20,False
1012HV,Onbekend,Onbekend,True
1012HW,15,20,False
1012HX,25,30,False
1012HZ,5,10,True
1012JA,20,30,False
1012JB,20,40,False
1012JC,10,15,True
1012JD,25,40,False
1012JE,30,45,False
1012JG,20,25,False
1012JH,20,30,False
1012JJ,Onbekend,Onbekend,True
1012JK,Onbekend,Onbekend,True
1012JL,Onbekend,5,True
1012JM,15,20,False
1012JN,15,25,False
1012JP,20,20,False
1012JS,5,10,True
1012JT,Onbekend,Onbekend,True
1012JV,50,60,False
1012JW,Onbekend,Onbekend,True
1012JZ,5,10,True
1012KB,Onbekend,Onbekend,True
1012KC,10,20,True
1012KD,5,5,True
1012KE,10,15,True
1012KG,Onbekend,Onbekend,True
1012KH,Onbekend,Onbekend,True
1012KJ,Onbekend,Onbekend,True
1012KK,Onbekend,Onbekend,True
1012KL,10,15,True
1012KM,Onbekend,Onbekend,True
1012KN,Onbekend,Onbekend,True
1012KP,Onbekend,Onbekend,True
1012KR,10,10,True
1012KS,10,15,True
1012KT,5,10,True
1012KV,15,20,False
1012KW,10,15,True
1012KX,Onbekend,Onbekend,True
1012KZ,Onbekend,Onbekend,True
1012LA,Onbekend,Onbekend,True
1012LB,15,15,False
1012LC,10,20,True
1012LD,10,10,True
1012LE,Onbekend,5,True
1012LG,Onbekend,5,True
1012LH,Onbekend,Onbekend,True
1012LJ,15,20,False
1012LK,Onbekend,Onbekend,True
1012LL,15,20,False
1012LM,Onbekend,Onbekend,True
1012LN,Onbekend,Onbekend,True
1012LP,10,15,True
1012LR,30,40,False
1012LS,10,15,True
1012LT,5,5,True
1012LV,10,10,True
1012LW,Onbekend,Onbekend,True
1012LX,35,45,False
1012LZ,25,35,False
1012MA,15,30,False
1012MB,35,40,False
1012MC,20,30,False
1012MD,10,15,True
1012ME,Onbekend,Onbekend,True
1012MG,Onbekend,Onbekend,True
1012MH,10,20,True
1012MJ,Onbekend,5,True
1012MK,15,20,False
1012ML,25,30,False
1012MN,15,20,False
1012MP,5,5,True
1012MR,10,15,True
1012MS,Onbekend,5,True
1012MT,Onbekend,Onbekend,True
1012MV,Onbekend,Onbekend,True
1012MX,Onbekend,Onbekend,True
1012MZ,10,15,True
1012NA,Onbekend,Onbekend,True
1012NB,60,85,False
1012NC,50,75,False
1012ND,10,10,True
1012NE,35,50,False
1012NG,65,100,False
1012NH,50,75,False
1012NJ,40,55,False
1012NK,65,95,False
1012NL,15,25,False
1012NM,20,30,False
1012NN,20,30,False
1012NP,Onbekend,Onbekend,True
1012NR,Onbekend,Onbekend,True
1012NS,Onbekend,Onbekend,True
1012NT,Onbekend,Onbekend,True
1012NV,10,15,True
1012NW,Onbekend,Onbekend,True
1012NX,5,10,True
1012NZ,Onbekend,Onbekend,True
1012PA,Onbekend,Onbekend,True
1012PB,10,15,True
1012PC,Onbekend,Onbekend,True
1012PD,Onbekend,Onbekend,True
1012PE,Onbekend,Onbekend,True
1012PG,Onbekend,Onbekend,True
1012PH,5,5,True
1012PJ,Onbekend,Onbekend,True
1012PK,Onbekend,Onbekend,True
1012PL,25,35,False
1012PM,15,20,False
1012PN,5,10,True
1012PP,Onbekend,5,True
1012PR,Onbekend,Onbekend,True
1012PS,20,30,False
1012PT,20,25,False
1012PV,55,80,False
1012PW,5,10,True
1012PX,5,10,True
1012PZ,15,20,False
1012RA,10,10,True
1012RB,10,15,True
1012RC,Onbekend,Onbekend,True
1012RD,25,40,False
1012RE,10,15,True
1012RG,5,5,True
1012RH,5,5,True
1012RJ,5,15,True
1012RK,25,40,False
1012RL,10,15,True
1012RM,20,30,False
1012RN,35,50,False
1012RP,10,15,True
1012RR,35,40,False
1012RS,25,35,False
1012RT,20,25,False
1012RV,35,45,False
1012RW,10,15,True
1012RX,10,10,True
1012RZ,15,30,False
1012SB,15,20,False
1012SC,20,35,False
1012SE,30,35,False
1012SG,5,10,True
1012SH,35,45,False
1012SJ,10,20,True
1012SK,15,20,False
1012SL,Onbekend,10,True
1012SM,Onbekend,Onbekend,True
1012SN,20,25,False
1012SP,45,60,False
1012SR,15,20,False
1012ST,30,35,False
1012SV,35,45,False
1012SW,25,35,False
1012SX,Onbekend,Onbekend,True
1012SZ,10,15,True
1012TA,55,70,False
1012TB,15,15,False
1012TC,10,20,True
1012TD,30,40,False
1012TE,15,20,False
1012TG,Onbekend,Onbekend,True
1012TH,15,20,False
1012TJ,Onbekend,Onbekend,True
1012TK,25,35,False
1012TL,Onbekend,Onbekend,True
1012TM,10,15,True
1012TN,15,20,False
1012TP,Onbekend,Onbekend,True
1012TR,5,5,True
1012TS,35,45,False
1012TT,25,35,False
1012TV,25,35,False
1012TW,45,55,False
1012TX,20,25,False
1012TZ,20,25,False
1012VA,5,10,True
1012VB,Onbekend,Onbekend,True
1012VC,35,55,False
1012VD,20,35,False
1012VE,10,15,True
1012VG,45,65,False
1012VH,45,75,False
1012VJ,10,30,True
1012VK,20,30,False
1012VM,35,50,False
1012VN,25,35,False
1012VP,25,35,False
1012VR,20,25,False
1012VS,5,10,True
1012VT,20,30,False
1012VV,20,30,False
1012VW,30,45,False
1012VX,25,25,False
1012VZ,Onbekend,Onbekend,True
1012WB,Onbekend,Onbekend,True
1012WC,Onbekend,Onbekend,True
1012WE,Onbekend,Onbekend,True
1012WG,35,55,False
1012WH,20,25,False
1012WJ,15,20,False
1012WK,15,20,False
1012WL,15,25,False
1012WN,15,20,False
1012WP,35,55,False
1012WR,15,25,False
1012WS,35,35,False
1012WT,30,35,False
1012WV,40,40,False
1012WX,10,15,True
1012WZ,Onbekend,Onbekend,True
1012XA,Onbekend,Onbekend,True
1012XB,Onbekend,Onbekend,True
1012XC,Onbekend,Onbekend,True
1012XD,Onbekend,Onbekend,True
1012XE,Onbekend,Onbekend,True
1012XG,Onbekend,Onbekend,True
1012XH,Onbekend,Onbekend,True
1012XJ,10,20,True
1012XK,35,45,False
1012XL,40,50,False
1012XM,15,20,False
1012XN,Onbekend,5,True
1012XP,5,10,True
1012XR,Onbekend,5,True
1012XS,Onbekend,5,True
1012XT,Onbekend,Onbekend,True
1012XV,Onbekend,Onbekend,True
1012XW,10,15,True
1012XX,Onbekend,Onbekend,True
1012XZ,Onbekend,Onbekend,True
1012ZA,Onbekend,Onbekend,True
1012ZD,20,20,False
1012ZE,35,50,False
1012ZG,15,25,False
1012ZH,Onbekend,Onbekend,True
1012ZJ,Onbekend,Onbekend,True
1012ZK,Onbekend,Onbekend,True
1012ZL,15,15,False
1013AA,Onbekend,Onbekend,True
1013AC,Onbekend,Onbekend,True
1013AD,260,475,False
1013AE,Onbekend,Onbekend,True
1013AG,100,135,False
1013AK,95,210,False
1013AL,95,130,False
1013AM,Onbekend,Onbekend,True
1013AP,15,25,False
1013AR,Onbekend,Onbekend,True
1013AS,105,180,False
1013AV,35,50,False
1013AW,165,265,False
1013AZ,50,105,False
1013BB,Onbekend,Onbekend,True
1013BC,Onbekend,Onbekend,True
1013BD,225,415,False
1013BE,Onbekend,Onbekend,True
1013BG,Onbekend,Onbekend,True
1013BH,290,515,False
1013BJ,Onbekend,Onbekend,True
1013BK,Onbekend,Onbekend,True
1013BL,Onbekend,Onbekend,True
1013BM,Onbekend,Onbekend,True
1013BN,Onbekend,Onbekend,True
1013BP,25,60,False
1013BR,35,75,False
1013BS,Onbekend,Onbekend,True
1013BT,Onbekend,Onbekend,True
1013BV,90,190,False
1013BW,Onbekend,Onbekend,True
1013BX,130,255,False
1013BZ,180,355,False
1013CA,40,60,False
1013CB,20,35,False
1013CC,40,55,False
1013CD,20,30,False
1013CE,Onbekend,15,True
1013CG,90,155,False
1013CH,40,75,False
1013CJ,50,100,False
1013CK,25,40,False
1013CL,55,90,False
1013CM,60,85,False
1013CN,Onbekend,Onbekend,True
1013CP,Onbekend,5,True
1013CR,55,100,False
1013CS,60,90,False
1013CT,35,50,False
1013CW,40,70,False
1013CX,Onbekend,Onbekend,True
1013CZ,15,30,False
1013DA,20,40,False
1013DB,30,50,False
1013DC,25,55,False
1013DD,35,80,False
1013DE,Onbekend,Onbekend,True
1013DG,30,65,False
1013DH,20,25,False
1013DJ,50,85,False
1013DK,20,35,False
1013DL,25,40,False
1013DM,25,35,False
1013DN,15,15,False
1013DP,Onbekend,Onbekend,True
1013DR,10,20,True
1013DS,20,25,False
1013DT,35,50,False
1013DV,35,50,False
1013DW,30,45,False
1013DX,30,55,False
1013DZ,25,40,False
1013EA,20,30,False
1013EB,15,20,False
1013EC,75,115,False
1013ED,15,55,False
1013EE,30,50,False
1013EG,40,65,False
1013EH,20,25,False
1013EJ,20,25,False
1013EK,5,10,True
1013EL,35,45,False
1013EM,25,45,False
1013EN,10,15,True
1013EP,5,10,True
1013ER,20,25,False
1013ES,25,40,False
1013ET,15,25,False
1013EV,10,20,True
1013EW,10,20,True
1013EX,5,5,True
1013EZ,10,20,True
1013GA,20,30,False
1013GB,10,10,True
1013GC,15,25,False
1013GD,15,30,False
1013GE,30,40,False
1013GG,15,25,False
1013GH,15,20,False
1013GJ,15,20,False
1013GK,25,35,False
1013GL,65,95,False
1013GM,215,315,False
1013GN,30,50,False
1013GP,20,30,False
1013GR,25,35,False
1013GS,45,85,False
1013GT,15,30,False
1013GW,35,50,False
1013GX,35,50,False
1013GZ,25,40,False
1013HA,60,90,False
1013HB,35,60,False
1013HC,45,85,False
1013HD,35,65,False
1013HE,95,145,False
1013HG,50,80,False
1013HH,Onbekend,5,True
1013HK,15,25,False
1013HL,20,25,False
1013HM,20,30,False
1013HN,Onbekend,15,True
1013HP,35,55,False
1013HR,20,25,False
1013HS,75,120,False
1013HT,50,65,False
1013HV,35,50,False
1013HW,30,40,False
1013HX,25,40,False
1013HZ,20,25,False
1013JA,15,30,False
1013JB,Onbekend,Onbekend,True
1013JC,Onbekend,Onbekend,True
1013JD,25,35,False
1013JE,20,30,False
1013JG,20,35,False
1013JH,25,45,False
1013JJ,30,50,False
1013JK,30,50,False
1013JL,55,100,False
1013JM,40,60,False
1013JN,25,30,False
1013JP,25,35,False
1013JR,25,105,False
1013JS,20,30,False
1013JT,30,45,False
1013JV,45,75,False
1013JW,25,40,False
1013JX,20,25,False
1013JZ,15,25,False
1013KA,15,25,False
1013KB,20,30,False
1013KC,25,40,False
1013KD,15,20,False
1013KE,10,15,True
1013KG,10,15,True
1013KH,20,35,False
1013KJ,Onbekend,Onbekend,True
1013KK,10,15,True
1013KL,15,25,False
1013KM,Onbekend,Onbekend,True
1013KN,35,50,False
1013KP,45,70,False
1013KR,25,45,False
1013KS,150,220,False
1013KT,25,55,False
1013KV,35,75,False
1013KW,85,150,False
1013KX,50,90,False
1013LA,65,105,False
1013LB,45,95,False
1013LC,225,380,False
1013LD,40,60,False
1013LE,25,40,False
1013LG,25,40,False
1013LH,40,65,False
1013LJ,10,10,True
1013LL,85,140,False
1013LM,90,155,False
1013LN,25,45,False
1013LP,95,130,False
1013LR,40,85,False
1013LT,45,65,False
1013LV,85,135,False
1013LX,5,10,True
1013LZ,15,20,False
1013MA,30,35,False
1013MB,35,55,False
1013MC,Onbekend,10,True
1013MD,100,175,False
1013ME,10,15,True
1013MG,40,60,False
1013MH,45,60,False
1013MJ,Onbekend,5,True
1013MK,30,35,False
1013ML,45,65,False
1013MM,45,90,False
1013MN,20,30,False
1013MP,30,35,False
1013MR,45,80,False
1013MS,50,70,False
1013MT,45,60,False
1013MV,30,50,False
1013MX,60,100,False
1013MZ,25,35,False
1013NA,10,15,True
1013NB,25,50,False
1013NC,30,45,False
1013ND,30,45,False
1013NE,75,130,False
1013NG,45,60,False
1013NH,30,55,False
1013NJ,100,180,False
1013NK,25,50,False
1013NL,75,175,False
1013NM,30,40,False
1013NN,35,60,False
1013NP,Onbekend,5,True
1013NR,10,10,True
1013NS,55,95,False
1013NT,45,70,False
1013NV,45,85,False
1013NX,10,20,True
1013NZ,Onbekend,5,True
1013PA,30,45,False
1013PB,Onbekend,5,True
1013PC,Onbekend,5,True
1013PD,45,75,False
1013PE,Onbekend,Onbekend,True
1013PG,Onbekend,Onbekend,True
1013PH,35,60,False
1013PJ,35,70,False
1013PK,10,20,True
1013PL,25,40,False
1013PM,15,25,False
1013PN,5,10,True
1013PP,10,25,True
1013PR,45,75,False
1013PS,10,20,True
1013PT,10,20,True
1013PV,10,185,True
1013PW,60,95,False
1013PX,90,140,False
1013RA,100,145,False
1013RB,30,35,False
1013RC,30,35,False
1013RD,25,35,False
1013RE,30,40,False
1013RG,30,40,False
1013RH,25,30,False
1013RJ,345,555,False
1013RK,45,70,False
1013RL,Onbekend,Onbekend,True
1013RM,10,25,True
1013RN,10,20,True
1013RP,190,320,False
1013RR,15,25,False
1013RS,Onbekend,Onbekend,True
1013RT,Onbekend,Onbekend,True
1013RV,15,20,False
1013RW,120,180,False
1013RX,35,55,False
1013RZ,20,50,False
1013SB,30,45,False
1013SC,20,35,False
1013SE,25,45,False
1013SG,20,35,False
1013SH,20,35,False
1013SJ,35,55,False
1013SK,10,20,True
1013SL,75,115,False
1013SM,45,80,False
1013SN,45,95,False
1013SP,95,105,False
1013SR,45,90,False
1013ST,30,45,False
1013SV,65,100,False
1013SW,60,75,False
1013SX,15,20,False
1013SZ,55,105,False
1013TA,30,40,False
1013TB,25,40,False
1013TC,20,35,False
1013TD,25,45,False
1013TE,30,45,False
1013TG,30,50,False
1013TH,55,90,False
1013TJ,55,75,False
1013TK,40,60,False
1013TL,20,35,False
1013TM,60,120,False
1013TN,20,40,False
1013TP,Onbekend,50,True
1013TX,Onbekend,10,True
1013VB,100,180,False
1013VD,10,15,True
1013VG,10,20,True
1013VH,15,25,False
1013VJ,5,10,True
1013VK,5,10,True
1013VL,25,45,False
1013VM,25,35,False
1013VN,20,30,False
1013VP,15,30,False
1013VR,10,25,True
1013VS,10,25,True
1013VT,10,20,True
1013VV,80,115,False
1013VW,Onbekend,150,True
1013VX,15,20,False
1013VZ,30,30,False
1013WB,25,60,False
1013WC,30,55,False
1013WD,30,55,False
1013WE,10,15,True
1013WG,45,70,False
1013WH,45,75,False
1013WJ,40,75,False
1013WK,5,10,True
1013WL,5,15,True
1013WN,55,75,False
1013WP,25,55,False
1013WR,15,30,False
1013WS,25,50,False
1013WT,20,35,False
1013WV,40,70,False
1013WZ,5,10,True
1013XA,10,20,True
1013XB,15,25,False
1013XC,65,85,False
1013XD,105,155,False
1013XE,45,75,False
1013XG,20,35,False
1013XH,Onbekend,Onbekend,True
1013XL,Onbekend,Onbekend,True
1013XM,Onbekend,Onbekend,True
1013XP,10,25,True
1013XR,5,10,True
1013XS,10,15,True
1013XT,60,100,False
1013XV,30,50,False
1013XW,30,50,False
1013XX,30,45,False
1013XZ,25,50,False
1013ZA,35,60,False
1013ZB,15,15,False
1013ZC,15,25,False
1013ZD,30,65,False
1013ZE,20,45,False
1013ZG,20,40,False
1013ZH,20,40,False
1013ZJ,15,30,False
1013ZK,30,65,False
1013ZL,15,20,False
1013ZM,35,70,False
1013ZN,25,50,False
1013ZP,25,40,False
1013ZR,20,50,False
1013ZS,30,65,False
1013ZT,35,65,False
1013ZV,15,20,False
1013ZW,40,70,False
1013ZX,30,50,False
1013ZZ,Onbekend,Onbekend,True
1014AA,Onbekend,5,True
1014AC,Onbekend,10,True
1014AD,25,40,False
1014AE,15,35,False
1014AG,135,240,False
1014AH,5,10,True
1014AJ,Onbekend,Onbekend,True
1014AK,Onbekend,Onbekend,True
1014AM,Onbekend,Onbekend,True
1014AN,Onbekend,Onbekend,True
1014AP,5,5,True
1014AR,Onbekend,Onbekend,True
1014AS,Onbekend,10,True
1014AT,35,55,False
1014AV,Onbekend,Onbekend,True
1014AW,Onbekend,Onbekend,True
1014AX,Onbekend,Onbekend,True
1014AZ,Onbekend,Onbekend,True
1014BA,Onbekend,Onbekend,True
1014BB,Onbekend,Onbekend,True
1014BC,Onbekend,Onbekend,True
1014BD,Onbekend,Onbekend,True
1014BE,Onbekend,Onbekend,True
1014BG,55,95,False
1014BH,Onbekend,Onbekend,True
1014BJ,Onbekend,Onbekend,True
1014BK,Onbekend,Onbekend,True
1014BL,Onbekend,20,True
1014BM,Onbekend,Onbekend,True
1014BN,Onbekend,Onbekend,True
1014BP,Onbekend,Onbekend,True
1014BS,Onbekend,Onbekend,True
1014BT,Onbekend,Onbekend,True
1014BV,Onbekend,Onbekend,True
1014BW,Onbekend,Onbekend,True
1014BX,Onbekend,Onbekend,True
1014BZ,Onbekend,Onbekend,True
1014CB,Onbekend,Onbekend,True
1014CC,Onbekend,Onbekend,True
1014CE,Onbekend,Onbekend,True
1014DA,Onbekend,Onbekend,True
1014DB,Onbekend,Onbekend,True
1014DC,Onbekend,Onbekend,True
1014DD,Onbekend,Onbekend,True
1014ZA,25,55,False
1014ZB,120,280,False
1014ZC,85,125,False
1014ZE,60,210,False
1014ZG,20,30,False
1014ZJ,105,300,False
1014ZL,85,185,False
1014ZP,250,445,False
1015AA,30,50,False
1015AB,50,80,False
1015AC,40,60,False
1015AD,35,60,False
1015AE,20,35,False
1015AG,25,35,False
1015AH,30,50,False
1015AJ,15,25,False
1015AK,55,85,False
1015AL,25,45,False
